date,Karachi,Hyderabad,Sukkur,Larkana,Quetta,Bahawalpur,Multan,Faisalabad,Lahore,Gujranwala,Sialkot,Rawalpindi,Islamabad,Peshawar,Muzaffarabad
2001-05-01,0.8,0.3,1.9,1.1,0.1,6.6,22.1,19.8,21.7,24.599999999999998,13.1,23.2,18.8,5.2,18.9
2001-06-01,1.9,2.1,4.699999999999999,3.5,2.6,39.9,59.5,117.8,162.3,244.8,287.1,162.6,137.7,88.9,117.0
2001-07-01,37.699999999999996,36.6,61.300000000000004,62.9,25.7,71.2,85.3,216.7,233.70000000000002,458.5,359.2,285.1,234.2,207.70000000000002,359.7
2001-08-01,54.6,132.9,48.4,55.0,11.3,34.4,24.0,32.7,70.3,127.7,133.8,78.2,60.2,235.3,79.4
2001-09-01,1.4000000000000001,0.0,0.2,1.4,3.2,1.5,18.700000000000003,48.3,51.0,83.4,45.0,44.199999999999996,38.3,59.0,29.599999999999998
2001-10-01,1.9,4.0,0.0,0.0,0.0,0.1,1.2,5.3,3.8,5.5,11.9,7.2,3.8,4.6,4.3
2001-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,16.7,7.300000000000001,61.9,88.60000000000001,16.4,58.699999999999996
2001-12-01,0.0,0.0,0.0,0.0,10.6,1.2,0.5,3.9000000000000004,9.9,22.900000000000002,16.0,3.4000000000000004,3.0,2.0,33.5
2002-01-01,0.0,0.0,0.0,0.0,13.799999999999999,0.2,0.0,0.2,0.6000000000000001,7.9,19.099999999999998,30.1,43.0,18.5,86.8
2002-02-01,0.6,0.0,1.4000000000000001,0.0,42.2,1.7,4.3,22.6,25.900000000000002,48.0,59.8,115.3,136.2,73.0,92.7
2002-03-01,0.0,0.0,7.1000000000000005,5.5,17.599999999999998,9.100000000000001,13.1,20.3,31.9,41.6,35.9,74.5,75.2,104.39999999999999,150.8
2002-04-01,0.0,0.0,0.0,0.0,14.1,1.0,4.6,3.0,7.2,21.900000000000002,54.0,24.3,31.299999999999997,24.1,113.7
2002-05-01,0.2,0.0,0.0,0.0,0.0,17.2,15.5,30.0,15.8,24.2,22.3,12.0,10.5,16.0,29.7
2002-06-01,0.0,1.7,0.0,2.1,0.1,3.4,15.3,48.2,73.5,91.60000000000001,68.8,121.2,114.0,122.39999999999999,87.6
2002-07-01,6.6,0.0,0.0,0.0,0.6,0.0,2.8,33.6,72.39999999999999,115.9,116.6,68.8,63.0,42.4,45.800000000000004
2002-08-01,14.2,5.199999999999999,1.2,1.8,17.3,3.8,15.0,58.7,98.0,421.79999999999995,562.9,204.5,217.8,194.5,205.8
